generation,reward,actor_loss,critic_loss,entropy_loss,diversity,loss,learning_rate,actions
50,-21.0,0.68386406,0.010555337,0,"[[9.99911785e-01 3.25795810e-07 1.56262630e-07 1.89548750e-08
  2.54862775e-09 8.76686536e-05]
 [5.28673410e-01 9.47334245e-02 1.00789197e-01 6.00358993e-02
  5.37863150e-02 1.61981747e-01]
 [5.29396474e-01 9.45725217e-02 1.00598648e-01 5.98995239e-02
  5.36424741e-02 1.61890358e-01]
 [5.29260933e-01 9.46061835e-02 1.00620955e-01 5.99256903e-02
  5.36644347e-02 1.61921829e-01]
 [5.30589640e-01 9.42915231e-02 1.00280859e-01 5.96724078e-02
  5.33932000e-02 1.61772385e-01]]",427.503,4.874085e-05,"[[-0.455049  ]
 [-0.65852123]
 [-0.658706  ]
 [-0.65777373]]"
55,-21.0,0.61995137,0.012080972,0,"[[1.0000000e+00 2.3377746e-11 5.4649617e-14 3.7713596e-13 4.0373185e-14
  5.5091014e-08]
 [7.1545595e-01 5.6003422e-02 3.8011692e-02 3.3130951e-02 2.8338231e-02
  1.2905978e-01]
 [7.1692592e-01 5.5687264e-02 3.7724093e-02 3.2900628e-02 2.8119968e-02
  1.2864216e-01]
 [7.1677059e-01 5.5730164e-02 3.7746973e-02 3.2925516e-02 2.8138679e-02
  1.2868802e-01]
 [7.1655738e-01 5.5777043e-02 3.7783947e-02 3.2958165e-02 2.8169064e-02
  1.2875438e-01]]",438.07162,4.8619124e-05,"[[ 0.13837522]
 [-0.68816835]
 [-0.6879786 ]
 [-0.68786097]]"
60,-21.0,0.643431,0.01612714,0,"[[9.9999952e-01 3.7633729e-10 1.0694434e-11 2.2688143e-11 2.2053569e-11
  4.9709490e-07]
 [7.0051301e-01 5.5642322e-02 4.1788369e-02 3.5917107e-02 3.6387451e-02
  1.2975182e-01]
 [6.9881040e-01 5.6009665e-02 4.2115301e-02 3.6193058e-02 3.6665577e-02
  1.3020600e-01]
 [6.9881040e-01 5.6009665e-02 4.2115301e-02 3.6193058e-02 3.6665577e-02
  1.3020600e-01]
 [6.9943380e-01 5.5872835e-02 4.1998968e-02 3.6091316e-02 3.6563523e-02
  1.3003959e-01]]",426.64957,4.8497703e-05,"[[-0.42682567]
 [-0.66147876]
 [-0.66122115]
 [-0.66122115]]"
65,-21.0,0.5414887,0.045302402,0,"[[9.9996579e-01 4.8491540e-07 1.7283435e-07 3.3625501e-08 5.2830565e-08
  3.3389344e-05]
 [6.0545701e-01 7.6708987e-02 7.2716296e-02 4.9902163e-02 5.3798445e-02
  1.4141713e-01]
 [6.0545701e-01 7.6708987e-02 7.2716296e-02 4.9902163e-02 5.3798445e-02
  1.4141713e-01]
 [6.0402608e-01 7.7015907e-02 7.3029995e-02 5.0157223e-02 5.4060470e-02
  1.4171042e-01]
 [6.0402608e-01 7.7015907e-02 7.3029995e-02 5.0157223e-02 5.4060470e-02
  1.4171042e-01]]",429.5191,4.8376583e-05,"[[ 0.04309714]
 [-0.54908246]
 [-0.54908246]
 [-0.5494384 ]]"
70,-21.0,0.4643572,0.007799988,0,"[[9.9999988e-01 1.4611027e-09 6.2995337e-10 9.0919494e-12 8.3489611e-11
  9.4575235e-08]
 [7.2426301e-01 5.4537393e-02 5.6035750e-02 2.8317301e-02 3.7398502e-02
  9.9447981e-02]
 [7.2213018e-01 5.4975573e-02 5.6502469e-02 2.8619854e-02 3.7753049e-02
  1.0001895e-01]
 [7.2214746e-01 5.4976523e-02 5.6504142e-02 2.8619397e-02 3.7751477e-02
  1.0000096e-01]
 [7.2281647e-01 5.4842778e-02 5.6357056e-02 2.8524626e-02 3.7640389e-02
  9.9818677e-02]]",430.64093,4.8255763e-05,"[[-0.4256289 ]
 [-0.6651233 ]
 [-0.66512793]
 [-0.66521627]]"
75,-20.0,0.39177608,0.16326387,0,"[[9.99999523e-01 5.26946735e-08 3.57901122e-08 3.91868898e-10
  2.98549052e-09 4.80015444e-07]
 [6.85392439e-01 6.54343516e-02 6.86119720e-02 3.43232304e-02
  4.55214828e-02 1.00716524e-01]
 [6.85392439e-01 6.54343516e-02 6.86119720e-02 3.43232304e-02
  4.55214828e-02 1.00716524e-01]
 [6.85392439e-01 6.54343516e-02 6.86119720e-02 3.43232304e-02
  4.55214828e-02 1.00716524e-01]
 [6.85392439e-01 6.54343516e-02 6.86119720e-02 3.43232304e-02
  4.55214828e-02 1.00716524e-01]]",415.84808,4.813525e-05,"[[-0.47484392]
 [-0.678121  ]
 [-0.678121  ]
 [-0.678121  ]]"
80,-21.0,0.59489703,0.03683516,0,"[[9.99988794e-01 1.47607182e-06 7.29124849e-07 5.03584268e-08
  8.24294588e-08 8.91540185e-06]
 [6.71002507e-01 6.90886974e-02 7.02846423e-02 4.06543575e-02
  4.60632034e-02 1.02906436e-01]
 [6.71002507e-01 6.90886974e-02 7.02846423e-02 4.06543575e-02
  4.60632034e-02 1.02906436e-01]
 [6.71002507e-01 6.90886974e-02 7.02846423e-02 4.06543575e-02
  4.60632034e-02 1.02906436e-01]
 [6.71002507e-01 6.90886974e-02 7.02846423e-02 4.06543575e-02
  4.60632034e-02 1.02906436e-01]]",452.21167,4.8015037e-05,"[[-0.31254694]
 [-0.6371588 ]
 [-0.6371588 ]
 [-0.6371588 ]]"
85,-21.0,0.6641773,0.014980251,0,"[[9.9998200e-01 1.1438603e-06 1.8117988e-06 6.4146363e-08 5.8627588e-08
  1.4878762e-05]
 [6.5089172e-01 6.7866445e-02 7.9879321e-02 4.2839944e-02 4.5414750e-02
  1.1310783e-01]
 [6.5089172e-01 6.7866445e-02 7.9879321e-02 4.2839944e-02 4.5414750e-02
  1.1310783e-01]
 [6.5170801e-01 6.7709431e-02 7.9693884e-02 4.2705927e-02 4.5267619e-02
  1.1291518e-01]
 [6.5246820e-01 6.7565963e-02 7.9520479e-02 4.2580478e-02 4.5131058e-02
  1.1273385e-01]]",435.18164,4.789512e-05,"[[-0.36242813]
 [-0.6429832 ]
 [-0.6429832 ]
 [-0.6432651 ]]"
90,-21.0,0.72570187,0.014516014,0,"[[9.9995255e-01 2.0009759e-06 2.3763616e-05 1.7639017e-07 1.0627928e-07
  2.1321384e-05]
 [6.3979524e-01 6.2556200e-02 9.9974811e-02 4.4180121e-02 4.3812223e-02
  1.0968144e-01]
 [6.4105821e-01 6.2322933e-02 9.9694699e-02 4.3964922e-02 4.3584023e-02
  1.0937519e-01]
 [6.4197809e-01 6.2155731e-02 9.9489450e-02 4.3808505e-02 4.3417495e-02
  1.0915074e-01]
 [6.4053959e-01 6.2420968e-02 9.9802919e-02 4.4056159e-02 4.3677840e-02
  1.0950258e-01]]",472.12045,4.777551e-05,"[[-0.20691212]
 [-0.62174827]
 [-0.6217288 ]
 [-0.6214618 ]]"
95,-21.0,0.6382627,0.01864509,0,"[[9.9996865e-01 3.9649575e-07 1.6939302e-05 1.3197801e-07 4.9679496e-08
  1.3896666e-05]
 [6.6791838e-01 5.0180588e-02 9.4509937e-02 4.2958144e-02 3.9066661e-02
  1.0536629e-01]
 [6.6791838e-01 5.0180588e-02 9.4509937e-02 4.2958144e-02 3.9066661e-02
  1.0536629e-01]
 [6.6791838e-01 5.0180588e-02 9.4509937e-02 4.2958144e-02 3.9066661e-02
  1.0536629e-01]
 [6.6791838e-01 5.0180588e-02 9.4509937e-02 4.2958144e-02 3.9066661e-02
  1.0536629e-01]]",459.10406,4.765619e-05,"[[-0.19142032]
 [-0.6289776 ]
 [-0.6289776 ]
 [-0.6289776 ]]"
